timestamp,x,y,z
2025-03-18 15:57:02.501075+00:00,0.12,0.24,-0.12
2025-03-18 15:42:00.311215+00:00,-2.93,0.0,0.37
2025-03-18 15:57:16.534788+00:00,-0.24,-0.12,0.31
2025-03-18 15:52:07.858545+00:00,48.83,-53.53,-80.2
2025-03-18 15:57:18.539994+00:00,-0.31,0.73,-0.61
2025-03-18 15:56:02.351360+00:00,0.12,0.18,0.0
2025-03-18 15:38:07.655795+00:00,-15.08,2.08,-0.85
2025-03-18 15:37:05.758920+00:00,0.49,-0.12,0.37
2025-03-18 15:48:11.373112+00:00,-10.07,3.91,24.9
2025-03-18 15:36:33.447860+00:00,0.31,0.31,0.37
2025-03-18 15:49:25.340952+00:00,0.18,0.18,0.06
2025-03-18 15:55:42.546021+00:00,-260.86,91.43,228.52
2025-03-18 15:55:56.337274+00:00,0.18,0.37,-0.06
2025-03-18 15:55:12.224893+00:00,-59.33,-190.92,418.52
2025-03-18 15:39:31.932588+00:00,0.06,-0.06,0.0
2025-03-18 15:56:32.427933+00:00,0.0,-0.12,0.0
2025-03-18 15:34:59.168893+00:00,-0.43,0.61,0.43
2025-03-18 15:50:09.437826+00:00,0.0,0.06,0.06
2025-03-18 15:34:19.099612+00:00,0.24,0.12,0.18
2025-03-18 15:46:59.218529+00:00,30.15,-28.38,-36.56
2025-03-18 15:50:57.603464+00:00,-66.96,126.89,-136.05
2025-03-18 15:41:06.141193+00:00,-8.48,4.33,11.66
2025-03-18 15:37:39.809009+00:00,-0.92,0.43,-0.31
2025-03-18 15:37:47.596054+00:00,0.73,0.24,0.31
2025-03-18 15:40:32.758434+00:00,-0.55,0.67,1.04
2025-03-18 15:54:24.147412+00:00,-105.96,-198.79,410.22
2025-03-18 15:39:15.856660+00:00,-1.04,3.23,0.24
2025-03-18 15:47:21.014788+00:00,69.58,198.06,-359.13
2025-03-18 15:33:06.888645+00:00,0.12,0.18,0.37
2025-03-18 15:36:13.377978+00:00,-0.24,0.06,0.0
2025-03-18 15:41:48.227532+00:00,-1.1,1.16,0.0
2025-03-18 15:48:31.274641+00:00,0.12,0.18,0.06
2025-03-18 15:55:22.253547+00:00,133.73,-48.16,-241.82
2025-03-18 15:56:18.584134+00:00,0.06,0.18,0.0
2025-03-18 15:47:59.121506+00:00,15.01,19.47,12.39
2025-03-18 15:33:57.391704+00:00,1.59,-0.73,-2.01
2025-03-18 15:53:34.073674+00:00,-4.09,110.84,-97.78
2025-03-18 15:36:23.687348+00:00,-0.37,0.43,0.37
2025-03-18 15:53:58.138820+00:00,-76.05,207.03,250.98
2025-03-18 15:41:14.103466+00:00,-0.55,1.22,-1.04
2025-03-18 15:38:52.390411+00:00,0.98,-0.18,-15.44
2025-03-18 15:57:30.784064+00:00,-7.63,-43.88,7.81
2025-03-18 15:54:42.169410+00:00,-32.65,266.78,142.46
2025-03-18 15:57:52.624117+00:00,-1.34,1.4,-0.24
2025-03-18 15:54:02.236377+00:00,130.07,173.83,-273.74
2025-03-18 15:51:27.642184+00:00,185.49,387.63,-625.37
2025-03-18 15:57:38.602221+00:00,0.31,0.37,-0.12
2025-03-18 15:58:24.953216+00:00,181.88,-162.96,80.2
2025-03-18 15:34:57.170954+00:00,-0.37,0.18,0.43
2025-03-18 15:50:37.538866+00:00,0.12,0.18,0.06
2025-03-18 15:53:20.043406+00:00,-58.17,-128.36,342.59
2025-03-18 15:39:21.830168+00:00,-0.18,0.37,-0.18
2025-03-18 15:34:37.121565+00:00,0.49,0.24,-0.31
2025-03-18 15:41:16.347186+00:00,-0.06,0.24,-0.18
2025-03-18 15:40:40.437964+00:00,0.18,0.31,0.43
2025-03-18 15:33:49.105223+00:00,-1.1,-0.73,-0.79
2025-03-18 15:49:07.319728+00:00,0.12,0.18,0.06
2025-03-18 15:36:01.447437+00:00,0.61,0.31,0.61
2025-03-18 15:48:59.331054+00:00,0.12,0.06,0.06
2025-03-18 15:38:37.762757+00:00,2.26,-1.46,-0.18
2025-03-18 15:51:53.721093+00:00,12.63,-14.16,-59.33
2025-03-18 15:52:43.894346+00:00,-61.34,121.95,-456.85
2025-03-18 15:41:26.138338+00:00,-4.94,-1.83,-3.05
2025-03-18 15:52:55.876842+00:00,96.98,90.82,-465.15
2025-03-18 15:52:17.786234+00:00,-58.35,-13.06,162.78
